MODEL_SPREAD,MARKET_LINE,RESULT,PROFIT
-3.0324445061525953,-10.5,1,90.9090909090909
3.6567809798131545,-16.0,1,90.9090909090909
-6.592793198853238,6.0,-1,-100.0
-8.07781995154904,3.0,1,90.9090909090909
-2.2560253532002665,3.0,1,90.9090909090909
-10.63428902803991,7.5,-1,-100.0
-3.6121794137431156,7.5,-1,-100.0
-0.010810138135164848,7.0,1,90.9090909090909
-1.8870239298721518,10.0,1,90.9090909090909
1.0497717151176342,-9.0,1,90.9090909090909
-2.771401979725548,-17.5,1,90.9090909090909
4.076096158834281,0.0,1,90.9090909090909
-0.9991693254432281,-6.5,1,90.9090909090909
-1.0905995077454609,-6.5,-1,-100.0
-7.376904682393226,1.0,1,90.9090909090909
-17.510175875550736,-8.5,-1,-100.0
-0.9125551629107722,2.5,1,90.9090909090909
-2.656136215627251,-16.0,1,90.9090909090909
1.289080671398244,-8.0,1,90.9090909090909
2.056172729420501,-11.0,1,90.9090909090909
-10.059280587873639,7.5,1,90.9090909090909
-13.794968077808031,-9.5,1,90.9090909090909
9.272121772917165,-12.5,1,90.9090909090909
3.1885202930017353,-8.0,0,0.0
-0.9671762256352512,-14.0,1,90.9090909090909
-2.4214029492732383,-7.5,-1,-100.0
-1.5441854716417769,-6.0,-1,-100.0
-2.3961479337678018,3.5,1,90.9090909090909
0.0828624357163843,-7.5,-1,-100.0
-13.956561103361887,10.5,1,90.9090909090909
5.182403614404711,-22.5,-1,-100.0
-4.2533320989840835,-9.0,-1,-100.0
-3.6822433433618986,6.5,-1,-100.0
-7.720129359743135,2.0,-1,-100.0
-12.377980029076179,-1.0,1,90.9090909090909
0.341026381408744,-6.0,-1,-100.0
0.2462664866454869,-11.0,-1,-100.0
5.789529066968077,-9.5,-1,-100.0
-1.069919224083117,-8.0,-1,-100.0
-6.555847015959751,5.0,-1,-100.0
8.372490553919056,1.0,-1,-100.0
-7.934835360468094,-1.0,1,90.9090909090909
-10.587792867868126,3.5,-1,-100.0
7.583144413577335,-11.5,-1,-100.0
-4.450012085274205,21.0,-1,-100.0
4.361973708199477,-11.5,1,90.9090909090909
-2.6037463785056705,-10.0,-1,-100.0
-3.8369147784416473,-12.0,-1,-100.0
-2.8050171286726258,-10.0,-1,-100.0
-0.07946671998527144,2.0,1,90.9090909090909
-9.138656007672859,-7.0,1,90.9090909090909
-4.207175212452819,-12.0,-1,-100.0
6.411218275049384,-13.0,-1,-100.0
-3.369319025180099,-8.0,-1,-100.0
3.5952248445575545,-16.0,-1,-100.0
-2.5487746813900802,-5.0,1,90.9090909090909
-5.910722409736815,6.0,-1,-100.0
2.099825632107061,-1.5,-1,-100.0
13.785686959668402,-19.5,1,90.9090909090909
2.246537750271065,-10.0,1,90.9090909090909
0.5986274863324237,3.5,-1,-100.0
-11.678085041203639,2.5,1,90.9090909090909
-0.010623445926023933,-12.5,-1,-100.0
-5.3972243222775464,-1.0,-1,-100.0
2.785120653842844,-8.5,-1,-100.0
2.0022541079124547,6.5,1,90.9090909090909
-11.923215753691887,5.0,-1,-100.0
-2.488461486522789,-8.0,1,90.9090909090909
-0.02581830038193722,2.5,-1,-100.0
-5.350833138992636,-2.0,1,90.9090909090909
-5.447588785157132,-11.5,1,90.9090909090909
-6.52608597109913,1.5,-1,-100.0
-6.612966589738699,2.5,1,90.9090909090909
-8.34100597381221,11.0,1,90.9090909090909
