DATE,HOME,AWAY,MODEL_SPREAD,ACTUAL_MARGIN,RESULT
2024-02-08 00:00:00+00:00,auburn,alabama,3.79,18,1
2024-02-10 17:00:00+00:00,lsu,alabama,2.91,-17,-1
2024-02-22 00:00:00+00:00,alabama,florida,1.98,5,1
2024-02-24 21:00:00+00:00,kentucky,alabama,1.29,22,1
2024-03-03 01:00:00+00:00,alabama,tennessee,3.07,-7,-1
2024-03-06 00:00:00+00:00,florida,alabama,4.02,18,1
2024-03-09 17:00:00+00:00,alabama,arkansas,1.61,4,1
2024-03-16 01:30:00+00:00,alabama,florida,1.98,-14,-1
2024-11-05 02:00:00+00:00,alabama,unc asheville,1.93,56,1
2024-11-09 01:00:00+00:00,alabama,arkansas,1.61,9,1
2024-11-16 00:00:00+00:00,purdue,alabama,4.2,9,1
2024-11-21 02:00:00+00:00,alabama,illinois,2.63,13,1
2024-11-27 01:00:00+00:00,houston,alabama,1.51,-5,-1
2024-11-28 03:00:00+00:00,rutgers,alabama,2.19,-5,-1
2024-12-01 02:55:00+00:00,alabama,oregon,3.83,-2,-1
2024-12-05 00:15:00+00:00,north carolina,alabama,3.05,-15,-1
2024-12-15 01:30:00+00:00,alabama,creighton,5.09,8,1
2024-12-19 02:00:00+00:00,north dakota,alabama,2.27,-7,-1
2024-12-29 20:00:00+00:00,alabama,south dakota,5.43,23,1
2023-01-05 01:30:00+00:00,alabama,arkansas pine bluff,3.96,14,1
2023-01-24 01:45:00+00:00,alabama,texas southern,3.27,-6,-1
2023-02-07 01:30:00+00:00,alabama,southern,3.28,7,1
2023-02-11 21:00:00+00:00,arkansas pine bluff,alabama,2.04,-3,-1
2023-02-21 01:30:00+00:00,alabama,bethune cookman,3.77,-5,-1
2023-03-03 02:00:00+00:00,southern,alabama,2.72,14,1
2023-11-11 01:00:00+00:00,iowa,alabama,3.96,31,1
2023-11-18 01:00:00+00:00,memphis,alabama,3.7,17,1
2023-11-23 00:45:00+00:00,samford,alabama,4.04,32,1
2023-11-25 18:00:00+00:00,alabama,merrimack,3.51,6,1
2023-12-14 01:00:00+00:00,lsu,alabama,1.79,18,1
2023-12-20 00:00:00+00:00,alabama,usc,3.72,-20,-1
2023-12-23 01:00:00+00:00,auburn,alabama,3.25,20,1
2024-01-09 01:30:00+00:00,arkansas pine bluff,alabama,3.7,-11,-1
2024-02-03 20:30:00+00:00,alabama,bethune cookman,2.24,-11,-1
2024-02-12 23:30:00+00:00,southern,alabama,3.14,11,1
